curve_label,twist,source,lmfdb_label,conductor,reason
2627a1,249,Zha16_no_2_tors,2627.a1,2627,STABLE_BASE_ALGORITHM2_REMOVAL
2627a1,321,Zha16_no_2_tors,2627.a1,2627,STABLE_BASE_ALGORITHM2_REMOVAL
2627a1,453,Zha16_no_2_tors,2627.a1,2627,STABLE_BASE_ALGORITHM2_REMOVAL
2627a1,669,Zha16_no_2_tors,2627.a1,2627,STABLE_BASE_ALGORITHM2_REMOVAL
2627a1,789,Zha16_no_2_tors,2627.a1,2627,STABLE_BASE_ALGORITHM2_REMOVAL
2627a1,813,Zha16_no_2_tors,2627.a1,2627,STABLE_BASE_ALGORITHM2_REMOVAL
2635a1,69,Zha16_no_2_tors,2635.b1,2635,STABLE_BASE_ALGORITHM2_REMOVAL
2635a1,501,Zha16_no_2_tors,2635.b1,2635,STABLE_BASE_ALGORITHM2_REMOVAL
2654a1,57,Zha16_no_2_tors,2654.a1,2654,STABLE_BASE_ALGORITHM2_REMOVAL
2654a1,177,Zha16_no_2_tors,2654.a1,2654,STABLE_BASE_ALGORITHM2_REMOVAL
2654a1,849,Zha16_no_2_tors,2654.a1,2654,STABLE_BASE_ALGORITHM2_REMOVAL
2654a1,969,Zha16_no_2_tors,2654.a1,2654,STABLE_BASE_ALGORITHM2_REMOVAL
2702d1,249,Zha16_no_2_tors,2702.d1,2702,STABLE_BASE_ALGORITHM2_REMOVAL
2702d1,393,Zha16_no_2_tors,2702.d1,2702,STABLE_BASE_ALGORITHM2_REMOVAL
2702d1,417,Zha16_no_2_tors,2702.d1,2702,STABLE_BASE_ALGORITHM2_REMOVAL
2702d1,561,Zha16_no_2_tors,2702.d1,2702,STABLE_BASE_ALGORITHM2_REMOVAL
2758b1,393,Zha16_no_2_tors,2758.c1,2758,STABLE_BASE_ALGORITHM2_REMOVAL
2758b1,417,Zha16_no_2_tors,2758.c1,2758,STABLE_BASE_ALGORITHM2_REMOVAL
2758b1,849,Zha16_no_2_tors,2758.c1,2758,STABLE_BASE_ALGORITHM2_REMOVAL
2758e1,393,Zha16_no_2_tors,2758.d1,2758,STABLE_BASE_ALGORITHM2_REMOVAL
2758e1,417,Zha16_no_2_tors,2758.d1,2758,STABLE_BASE_ALGORITHM2_REMOVAL
2758e1,849,Zha16_no_2_tors,2758.d1,2758,STABLE_BASE_ALGORITHM2_REMOVAL
2758g1,393,Zha16_no_2_tors,2758.e1,2758,STABLE_BASE_ALGORITHM2_REMOVAL
2758g1,417,Zha16_no_2_tors,2758.e1,2758,STABLE_BASE_ALGORITHM2_REMOVAL
2758g1,849,Zha16_no_2_tors,2758.e1,2758,STABLE_BASE_ALGORITHM2_REMOVAL
2822b1,33,Zha16_no_2_tors,2822.a1,2822,STABLE_BASE_ALGORITHM2_REMOVAL
2822b1,681,Zha16_no_2_tors,2822.a1,2822,STABLE_BASE_ALGORITHM2_REMOVAL
2846a1,33,Zha16_no_2_tors,2846.b1,2846,STABLE_BASE_ALGORITHM2_REMOVAL
2846a1,177,Zha16_no_2_tors,2846.b1,2846,STABLE_BASE_ALGORITHM2_REMOVAL
2846a1,249,Zha16_no_2_tors,2846.b1,2846,STABLE_BASE_ALGORITHM2_REMOVAL
2846a1,345,Zha16_no_2_tors,2846.b1,2846,STABLE_BASE_ALGORITHM2_REMOVAL
2846a1,393,Zha16_no_2_tors,2846.b1,2846,STABLE_BASE_ALGORITHM2_REMOVAL
2846a1,489,Zha16_no_2_tors,2846.b1,2846,STABLE_BASE_ALGORITHM2_REMOVAL
2846a1,705,Zha16_no_2_tors,2846.b1,2846,STABLE_BASE_ALGORITHM2_REMOVAL
2846a1,897,Zha16_no_2_tors,2846.b1,2846,STABLE_BASE_ALGORITHM2_REMOVAL
2915a1,69,Zha16_no_2_tors,2915.b1,2915,STABLE_BASE_ALGORITHM2_REMOVAL
2915a1,201,Zha16_no_2_tors,2915.b1,2915,STABLE_BASE_ALGORITHM2_REMOVAL
2915a1,309,Zha16_no_2_tors,2915.b1,2915,STABLE_BASE_ALGORITHM2_REMOVAL
2915a1,741,Zha16_no_2_tors,2915.b1,2915,STABLE_BASE_ALGORITHM2_REMOVAL
2962b1,33,Zha16_no_2_tors,2962.c1,2962,STABLE_BASE_ALGORITHM2_REMOVAL
2962b1,129,Zha16_no_2_tors,2962.c1,2962,STABLE_BASE_ALGORITHM2_REMOVAL
2962b1,201,Zha16_no_2_tors,2962.c1,2962,STABLE_BASE_ALGORITHM2_REMOVAL
2962b1,393,Zha16_no_2_tors,2962.c1,2962,STABLE_BASE_ALGORITHM2_REMOVAL
